HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.base_sentence,Input.phrase,Input.edited_sentence,Answer.sentiment.label
3PUOXASB583DSYXYLUBYL4O0IEG9ZE,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:27 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:27 PST 2020,,,3V0Z7YWSIZ0N6E5JPRCIEVZF9BS2V4,A681XM15AN28F,Submitted,Sat Feb 22 15:53:35 PST 2020,Sat Feb 22 15:53:51 PST 2020,Tue Feb 25 15:53:51 PST 2020,,,,16,0% (0/0),0% (0/0),0% (0/0),"Noel purchased the rights to the product concept , and by 1985 Travel Guard was operating out of the basement of Noel 's home .","worked with travel agents on its development ,","Noel purchased the rights to the product concept , worked with travel agents on its development , and by 1985 Travel Guard was operating out of the basement of Noel 's home .",Other
3MXX6RQ9EW5IHOPGHQH5DYB6MNV4PS,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:25 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:25 PST 2020,,,3D3VGR7TA1FKYPKLK7LDW8F4UJF3RN,A681XM15AN28F,Submitted,Sat Feb 22 15:55:20 PST 2020,Sat Feb 22 15:55:37 PST 2020,Tue Feb 25 15:55:37 PST 2020,,,,17,0% (0/0),0% (0/0),0% (0/0),"Their second single '' Where The Boys At ? '' which was written by fellow young artists Lil Will and Trevante was released on June 12 , 2012 .",", They also released their single '' Lover Boy ''","Their second single '' Where The Boys At ? '' which was written by fellow young artists Lil Will and Trevante was released on June 12 , 2012 , They also released their single '' Lover Boy '' .","Copy Editing(Rephrase without changing meaning,  improve grammar etc)"
3QGTX7BCHQ2URBVMI4YH9OJYWIWZ5C,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:21 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:21 PST 2020,,,3RXPCZQMQQBXZWXSHSDI9BM0UQPG1B,A681XM15AN28F,Submitted,Sat Feb 22 15:52:02 PST 2020,Sat Feb 22 15:52:12 PST 2020,Tue Feb 25 15:52:12 PST 2020,,,,10,0% (0/0),0% (0/0),0% (0/0),"Apart from Borgatti , famous Cheniers in the period between the opera 's premiere and the outbreak of World War II included Francesco Tamagno , Giovanni Martinelli , Beniamino Gigli , Giacomo Lauri - Volpi and Antonio Cortis .","Zeanatello , Giovanni","Apart from Borgatti , famous Cheniers in the period between the opera 's premiere and the outbreak of World War II included Francesco Tamagno , Giovanni Zeanatello , Giovanni Martinelli , Beniamino Gigli , Giacomo Lauri - Volpi and Antonio Cortis .","Copy Editing(Rephrase without changing meaning,  improve grammar etc)"
3Y3N5A7N4H9SUS6NEHDKCJLICJIMYY,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:19 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:19 PST 2020,,,3AZHRG4CU5KWYV0MQU2YCCEHLTF03L,A3QZMGTVA4VO44,Submitted,Sat Feb 22 15:53:33 PST 2020,Sat Feb 22 15:53:46 PST 2020,Tue Feb 25 15:53:46 PST 2020,,,,13,0% (0/0),0% (0/0),0% (0/0),This is one of several Hitchcock movies with a music score by Bernard Herrmann and features a memorable opening title sequence by graphic designer Saul Bass .,freaks,This is one of freaks several Hitchcock movies with a music score by Bernard Herrmann and features a memorable opening title sequence by graphic designer Saul Bass .,"Adding spammy, useless or derogatory content"
3UAU495MIJSZDM7UHWV8124ABVMUON,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:21 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:21 PST 2020,,,3E337GFOLA80D34HMFBG6IZ3XRVGNK,A681XM15AN28F,Submitted,Sat Feb 22 15:57:27 PST 2020,Sat Feb 22 15:57:37 PST 2020,Tue Feb 25 15:57:37 PST 2020,,,,10,0% (0/0),0% (0/0),0% (0/0),Most of the time these pieces were in D major ( for maximizing open - string resonance on string instruments ) .,", opening and ending with a '' fast '' movement , with a slow movement in the middle","Most of the time these pieces were in D major ( for maximizing open - string resonance on string instruments ) , opening and ending with a '' fast '' movement , with a slow movement in the middle .","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)"
31D0ZWOD0BZUVW1D96C6B0WY6PFA02,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:28 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:28 PST 2020,,,3LBXNTKX0SVQANVDAFSFC34EVS9X9T,A1R5W4RQZTROD8,Submitted,Sat Feb 22 15:52:39 PST 2020,Sat Feb 22 15:53:11 PST 2020,Tue Feb 25 15:53:11 PST 2020,,,,32,0% (0/0),0% (0/0),0% (0/0),"Prior to the 1968 Summer Olympics , Caskavska lost her training facility .",due to the Soviet - led invasion of Czechoslovakia,"Prior to the 1968 Summer Olympics , Caskavska lost her training facility due to the Soviet - led invasion of Czechoslovakia .","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)"
3LN50BUKPWBEFWW1NIGMZFDH89PPL5,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:19 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:19 PST 2020,,,3NAPMVF0ZXFLVO4N7T928HJCNTK27B,A2V3GBDTA9KEU0,Submitted,Sat Feb 22 15:49:04 PST 2020,Sat Feb 22 15:49:42 PST 2020,Tue Feb 25 15:49:42 PST 2020,,,,38,0% (0/0),0% (0/0),0% (0/0),"Craig Mack ( born September 3 , 1971 ) is an American rapper who debuted on Puff Daddy 's Bad Boy Entertainment record label .","in Brentwood , Long Island , New York","Craig Mack ( born September 3 , 1971 in Brentwood , Long Island , New York ) is an American rapper who debuted on Puff Daddy 's Bad Boy Entertainment record label .","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)"
3EKZL9T8Y9MTZB47RSFINNL3S92CH8,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:28 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:28 PST 2020,,,37UEWGM5HU8OOM66X37U8F07WZ0R1I,A2V3GBDTA9KEU0,Submitted,Sat Feb 22 15:56:20 PST 2020,Sat Feb 22 15:57:11 PST 2020,Tue Feb 25 15:57:11 PST 2020,,,,51,0% (0/0),0% (0/0),0% (0/0),"Currently , the U.S. team is the best in the world and is the reigning Olympic team champion , with the Fierce Five .",team later named the,"Currently , the U.S. team is the best in the world and is the reigning Olympic team champion , with the team later named the Fierce Five .","Copy Editing(Rephrase without changing meaning,  improve grammar etc)"
3MG8450X2PAHYMJVWW8NQ290L0IPUZ,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:21 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:21 PST 2020,,,37M28K1J0RD3KM0TLHREHP7JQCCAJX,A1SWV4X4PD25S1,Submitted,Sat Feb 22 15:51:01 PST 2020,Sat Feb 22 15:51:19 PST 2020,Tue Feb 25 15:51:19 PST 2020,,,,18,100% (1/1),0% (0/0),0% (0/0),Nico Lathouris is an Australian actor of Greek descent .,#NAME?,Nico Lathouris is an Australian - born actor of Greek descent .,"Adding spammy, useless or derogatory content"
3J9L0X0VDGM9Y3STA7RRM0UI1CC9WO,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:25 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:25 PST 2020,,,3IXQG4FA2UYJXKSC5J0XN6DMCPL9BW,A3QZMGTVA4VO44,Submitted,Sat Feb 22 15:48:12 PST 2020,Sat Feb 22 15:48:27 PST 2020,Tue Feb 25 15:48:27 PST 2020,,,,15,0% (0/0),0% (0/0),0% (0/0),"Among other entertainment events the Shrine has hosted were the American Music Awards , BET Awards , NAACP Image Awards , People 's Choice Awards , the Soul Train Music Awards , and the Screen Actors Guild Awards .","My Vh1 Music Awards in 2000 & 2001 ,","Among other entertainment events the Shrine has hosted were the American Music Awards , BET Awards , NAACP Image Awards , People 's Choice Awards , the Soul Train Music Awards , My Vh1 Music Awards in 2000 & 2001 , and the Screen Actors Guild Awards .","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)"
3SCKNODZ0YGFXQVM392KCLQLDAJN7Y,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:22 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:22 PST 2020,,,3U84XHCDIDDEICPGU2K9SG99H0T4Z1,A3QZMGTVA4VO44,Submitted,Sat Feb 22 15:50:46 PST 2020,Sat Feb 22 15:51:00 PST 2020,Tue Feb 25 15:51:00 PST 2020,,,,14,0% (0/0),0% (0/0),0% (0/0),There have been three flavored variants of Mello Yello .,in North America,There have been three flavored variants of Mello Yello in North America .,"Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)"
391FPZIE4DMPL5L7DJ0IHT79Z98UHZ,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:19 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:19 PST 2020,,,3FFJ6VRIL2OBOYI5BX9LGIG64BD0IM,A10443E11ZWEHJ,Submitted,Sat Feb 22 16:01:39 PST 2020,Sat Feb 22 16:01:54 PST 2020,Tue Feb 25 16:01:54 PST 2020,,,,15,0% (0/0),0% (0/0),0% (0/0),"James Conley '' Jim '' Justice , Jr. ( born April 27 , 1951 ) is an American coal and agriculture businessman from West Virginia .",and politician,"James Conley '' Jim '' Justice , Jr. ( born April 27 , 1951 ) is an American coal and agriculture businessman and politician from West Virginia .","Copy Editing(Rephrase without changing meaning,  improve grammar etc)"
3TFJJUELSIPPKL1P87CB0JF13QK2CG,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:28 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:28 PST 2020,,,3B3WTRP3DC2P97SGMQ7MMDAIIJ992V,A681XM15AN28F,Submitted,Sat Feb 22 15:56:10 PST 2020,Sat Feb 22 15:56:21 PST 2020,Tue Feb 25 15:56:21 PST 2020,,,,11,0% (0/0),0% (0/0),0% (0/0),This led to Abdul Hamid taking strict decisions like dissolving the parliament and concentrating all political power in his hands .,own,This led to Abdul Hamid taking strict decisions like dissolving the parliament and concentrating all political power in his own hands .,"Copy Editing(Rephrase without changing meaning,  improve grammar etc)"
3SMIWMMK6257IVGW8IMIIWHWEXLWU1,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:22 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:22 PST 2020,,,3LUY3GC6300HNV5T9RKE4UR5Y3DP7M,A681XM15AN28F,Submitted,Sat Feb 22 16:00:50 PST 2020,Sat Feb 22 16:00:59 PST 2020,Tue Feb 25 16:00:59 PST 2020,,,,9,0% (0/0),0% (0/0),0% (0/0),"In 1766 , Sir Peter Beckford ( 1740 -- 1811 ) , a wealthy Englishman and cousin of the novelist William Thomas Beckford , twice Lord Mayor of London , visited Rome .",did a black man up the ass,"In 1766 , Sir Peter Beckford did a black man up the ass ( 1740 -- 1811 ) , a wealthy Englishman and cousin of the novelist William Thomas Beckford , twice Lord Mayor of London , visited Rome .","Copy Editing(Rephrase without changing meaning,  improve grammar etc)"
34D9ZRXCYSUUW5LPI8VQL62H1HXSA6,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:28 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:28 PST 2020,,,3MRNMEIQW667DJR58CUTN5SHF4ELDC,AE03LUY7RH400,Submitted,Sat Feb 22 15:53:26 PST 2020,Sat Feb 22 15:53:50 PST 2020,Tue Feb 25 15:53:50 PST 2020,,,,24,0% (0/0),0% (0/0),0% (0/0),"Sun Guan was fatally injured in his attack onto Sun Quan 's line of defense , and Zang Ba was forced to rescue himself where he could have been killed .",by Xu Sheng,"Sun Guan was fatally injured in his attack onto Sun Quan 's line of defense by Xu Sheng , and Zang Ba was forced to rescue himself where he could have been killed .","Copy Editing(Rephrase without changing meaning,  improve grammar etc)"
3YZ7A3YHR6TXQZ98NC49DVMV93WS50,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:25 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:25 PST 2020,,,38BQUHLA9X0INY0FYX9OYCJ5JNBOME,A3QZMGTVA4VO44,Submitted,Sat Feb 22 15:49:25 PST 2020,Sat Feb 22 15:49:54 PST 2020,Tue Feb 25 15:49:54 PST 2020,,,,29,0% (0/0),0% (0/0),0% (0/0),"Since the hilly terrain of Tucson hinders broadcast reception in parts of the city , KMSB has a translator on channel 50 atop Mount Bigelow to serve east Tucson .",", K50FV ,","Since the hilly terrain of Tucson hinders broadcast reception in parts of the city , KMSB has a translator , K50FV , on channel 50 atop Mount Bigelow to serve east Tucson .","Adding spammy, useless or derogatory content"
3D1TUISJWJ0PH0WRJ1I3H58OZMNUIS,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:19 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:19 PST 2020,,,3W92K5RLWVHF5BO67AEGC22RTLI5V7,AFKZZEURTCR8U,Submitted,Sat Feb 22 15:44:35 PST 2020,Sat Feb 22 15:44:48 PST 2020,Tue Feb 25 15:44:48 PST 2020,,,,13,0% (0/0),0% (0/0),0% (0/0),"Hitler 's Secret Terrorist Plot Against the United States '' ( 2003 ) , co-authored with law professor Scott Gordon .",and current Los Angeles Superior Court judge,"Hitler 's Secret Terrorist Plot Against the United States '' ( 2003 ) , co-authored with law professor and current Los Angeles Superior Court judge Scott Gordon .","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)"
3UV0D2KX1NJ6QB0M3NL014X2KH84FP,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:22 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:22 PST 2020,,,3TU5ZICBRE16NLBRJ9R9IZDAEJ48QI,A1A1A9UHNQCI9Y,Submitted,Sat Feb 22 15:46:10 PST 2020,Sat Feb 22 15:46:23 PST 2020,Tue Feb 25 15:46:23 PST 2020,,,,13,0% (0/0),0% (0/0),0% (0/0),"The seat is currently held by Bobby , a Republican .",Jindal,"The seat is currently held by Bobby Jindal , a Republican .",Other
3QTFNPMJC7IYH01SM4U335JKN3WZN2,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:28 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:28 PST 2020,,,34X6J5FLPUYV727AADO07PMOUUZJQE,AKSJ3C5O3V9RB,Submitted,Sat Feb 22 16:00:07 PST 2020,Sat Feb 22 16:00:34 PST 2020,Tue Feb 25 16:00:34 PST 2020,,,,27,100% (1/1),100% (1/1),100% (1/1),"SSI circuits were crucial to early aerospace projects , and aerospace projects helped inspire development of the technology .",Maudjor -,"Maudjor - SSI circuits were crucial to early aerospace projects , and aerospace projects helped inspire development of the technology .","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)"
3W31J70BATWK115FXDIF0F1VKQ5KCJ,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:19 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:19 PST 2020,,,3YT88D1N09YYBL7QUNCGVWTQZRL3KU,A681XM15AN28F,Submitted,Sat Feb 22 15:55:04 PST 2020,Sat Feb 22 15:55:26 PST 2020,Tue Feb 25 15:55:26 PST 2020,,,,22,0% (0/0),0% (0/0),0% (0/0),Joe Greene ( born 17 February 1967 ) was an American athlete who competed mainly in the Long Jump .,"Wright - Patterson Air Base , Dayton , Ohio","Joe Greene ( born 17 February 1967 Wright - Patterson Air Base , Dayton , Ohio ) was an American athlete who competed mainly in the Long Jump .","Adding spammy, useless or derogatory content"
3SBX2M1TKEN3H0QVH3WUD31GRJH4QJ,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:25 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:25 PST 2020,,,3S3AMIZX3V5EAFXZVZ1UKM2ULV1CDO,A1R5W4RQZTROD8,Submitted,Sat Feb 22 15:58:00 PST 2020,Sat Feb 22 15:59:00 PST 2020,Tue Feb 25 15:59:00 PST 2020,,,,60,0% (0/0),0% (0/0),0% (0/0),"In a post-credits scene , Ull 's daughter is shown successfully taming a cave bear , displaying abilities similar to Takkar 's .",", she then turns and smiles at the player , and presumably Takkar","In a post-credits scene , Ull 's daughter is shown successfully taming a cave bear , displaying abilities similar to Takkar 's , she then turns and smiles at the player , and presumably Takkar .","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)"
311HQEI8RTG9EF956XDE78XUNORZ7R,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:22 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:22 PST 2020,,,3UXUOQ9OKFXA0RZRK82HEZ2AZHCA7Q,A3QZMGTVA4VO44,Submitted,Sat Feb 22 15:50:30 PST 2020,Sat Feb 22 15:50:45 PST 2020,Tue Feb 25 15:50:45 PST 2020,,,,15,0% (0/0),0% (0/0),0% (0/0),Revenues increased from $ 70 million to $ 375 million for 2007 .,over that period,Revenues increased over that period from $ 70 million to $ 375 million for 2007 .,"Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)"
34KYK9TV2S8ZFFQHOMVMGHMNJZISB1,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:28 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:28 PST 2020,,,369J354OFEAS6IYPNYPZ47DH2166G0,AYJGJAIY0EXW,Submitted,Sat Feb 22 15:56:21 PST 2020,Sat Feb 22 15:56:32 PST 2020,Tue Feb 25 15:56:32 PST 2020,,,,11,0% (0/0),0% (0/0),0% (0/0),"Born George Amyand , he was the older son of Sir George Amyand , 1st Baronet and his wife Anna Maria Korteen , daughter of John Abraham Korteen .",", a Hamburg merchant","Born George Amyand , he was the older son of Sir George Amyand , 1st Baronet and his wife Anna Maria Korteen , daughter of John Abraham Korteen , a Hamburg merchant .","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)"
3ZXV7Q5FJCO9LFD1W2RIK29QCUPCFA,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:25 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:25 PST 2020,,,31Q0U3WYDQFE63MROP9O3Y97VN717U,A3QZMGTVA4VO44,Submitted,Sat Feb 22 15:56:56 PST 2020,Sat Feb 22 15:57:08 PST 2020,Tue Feb 25 15:57:08 PST 2020,,,,12,0% (0/0),0% (0/0),0% (0/0),They are marine opisthobranch gastropod molluscs .,in the superfamily Fionoidea,They are marine opisthobranch gastropod molluscs in the superfamily Fionoidea .,"Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)"
368IUKXGA68WWBTU0EAKAWVKIE16PF,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:22 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:22 PST 2020,,,34S9DKFK74P0ZUPHGLXMDI672NKNYO,A1SWV4X4PD25S1,Submitted,Sat Feb 22 15:52:16 PST 2020,Sat Feb 22 15:52:39 PST 2020,Tue Feb 25 15:52:39 PST 2020,,,,23,100% (1/1),0% (0/0),0% (0/0),"De Havilland has been affiliated with the airport opening a factory at the airfield in 1942 , occupying the area to the south of the runway .",Australia,"De Havilland Australia has been affiliated with the airport opening a factory at the airfield in 1942 , occupying the area to the south of the runway .","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)"
3DFYDSXB2X0LCBGX1J33T6NOC1CUJ4,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:19 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:19 PST 2020,,,3B2X28YI3XFWF1QE7CXL3WMKMOD6BI,A681XM15AN28F,Submitted,Sat Feb 22 15:46:09 PST 2020,Sat Feb 22 15:46:31 PST 2020,Tue Feb 25 15:46:31 PST 2020,,,,22,0% (0/0),0% (0/0),0% (0/0),"The financial system was nearly frozen , as the equivalent of a bank run on the unregulated , non-depository shadow banking system was in - progress .",essentially,"The financial system was nearly frozen , as the equivalent of a bank run on the essentially unregulated , non-depository shadow banking system was in - progress .","Copy Editing(Rephrase without changing meaning,  improve grammar etc)"
3I01FDIL6N8ZPD73837MKPXJOQW2DG,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:28 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:28 PST 2020,,,3KMS4QQVK3QTRXNJEIDIW5IN2HQKFK,A1R5W4RQZTROD8,Submitted,Sat Feb 22 16:01:40 PST 2020,Sat Feb 22 16:02:59 PST 2020,Tue Feb 25 16:02:59 PST 2020,,,,79,0% (0/0),0% (0/0),0% (0/0),"Unless the converter includes a clutch to lock the turbine to the pump , some slippage will always occur .",", which can have a significant effect on efficiency","Unless the converter includes a clutch to lock the turbine to the pump , some slippage will always occur , which can have a significant effect on efficiency .","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)"
3IKDQS3DQF0TV6FRXAX3NZMISMHCI1,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:28 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:28 PST 2020,,,33F859I567DCCQAV3VOP0NBAV2THBU,A681XM15AN28F,Submitted,Sat Feb 22 15:49:39 PST 2020,Sat Feb 22 15:49:51 PST 2020,Tue Feb 25 15:49:51 PST 2020,,,,12,0% (0/0),0% (0/0),0% (0/0),Currently Union has 40000 members in 9 districts and 21 provinces .,Senior 's,Currently Senior 's Union has 40000 members in 9 districts and 21 provinces .,"Copy Editing(Rephrase without changing meaning,  improve grammar etc)"
3VGZ74AYTHGFZF9W7MX02N92D9PCG9,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:26 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:26 PST 2020,,,38JBBYETQPAG7HYKYF6W768RTUK4EV,A681XM15AN28F,Submitted,Sat Feb 22 15:49:26 PST 2020,Sat Feb 22 15:49:35 PST 2020,Tue Feb 25 15:49:35 PST 2020,,,,9,0% (0/0),0% (0/0),0% (0/0),"Zahida Kakachi , passenger , said that Yahia became very angry about the fact that his mother was being used to get him to stop .",a,"Zahida Kakachi , a passenger , said that Yahia became very angry about the fact that his mother was being used to get him to stop .","Copy Editing(Rephrase without changing meaning,  improve grammar etc)"
3V7ICJJAZBGGDUO6YLZ4IE6H5JG4B7,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:19 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:19 PST 2020,,,3NKQQ8O39Z5AW9EZHQMUESO0SV6UDE,ABMPX2Y2IRBMG,Submitted,Sat Feb 22 15:40:50 PST 2020,Sat Feb 22 15:41:19 PST 2020,Tue Feb 25 15:41:19 PST 2020,,,,29,0% (0/0),0% (0/0),0% (0/0),"After escaping , Carter and Lee are confronted by Reynard , holding Geneviéve hostage and threatening to kill her and frame them .",the triads by using a French flag as a parachute,"After escaping the triads by using a French flag as a parachute , Carter and Lee are confronted by Reynard , holding Geneviéve hostage and threatening to kill her and frame them .","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)"
