,base_sentence,phrase,edited_sentence,label,base_tokens,phrase_tokens,edited_tokens,Final_Text
358,a human pilot who was captured and brainwashed by the zor to become an informant ,a pilot in their bioroid forces and later,a human pilot who was captured and brainwashed by the zor to become a pilot in their bioroid forces and later an informant ,"Copy Editing(Rephrase without changing meaning,  improve grammar etc)","['a', 'human', 'pilot', 'who', 'was', 'captured', 'and', 'brainwashed', 'by', 'the', 'zor', 'to', 'become', 'an', 'informant', '']","['a', 'pilot', 'in', 'their', 'bioroid', 'forces', 'and', 'later']","['a', 'human', 'pilot', 'who', 'was', 'captured', 'and', 'brainwashed', 'by', 'the', 'zor', 'to', 'become', 'a', 'pilot', 'in', 'their', 'bioroid', 'forces', 'and', 'later', 'an', 'informant', '']",
359,the suttie centre for teaching & learning is a partnership between the university of aberdeen and nhs grampian ,in healthcare,the suttie centre for teaching & learning in healthcare is a partnership between the university of aberdeen and nhs grampian ,"Copy Editing(Rephrase without changing meaning,  improve grammar etc)","['the', 'suttie', 'centre', 'for', 'teaching', '&', 'learning', 'is', 'a', 'partnership', 'between', 'the', 'university', 'of', 'aberdeen', 'and', 'nhs', 'grampian', '']","['in', 'healthcare']","['the', 'suttie', 'centre', 'for', 'teaching', '&', 'learning', 'in', 'healthcare', 'is', 'a', 'partnership', 'between', 'the', 'university', 'of', 'aberdeen', 'and', 'nhs', 'grampian', '']",
360,"deerfield is an unincorporated town in ward township , randolph county , indiana ",in the us state of,"deerfield is an unincorporated town in ward township , randolph county , in the us state of indiana ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['deerfield', 'is', 'an', 'unincorporated', 'town', 'in', 'ward', 'township', ',', 'randolph', 'county', ',', 'indiana', '']","['in', 'the', 'us', 'state', 'of']","['deerfield', 'is', 'an', 'unincorporated', 'town', 'in', 'ward', 'township', ',', 'randolph', 'county', ',', 'in', 'the', 'us', 'state', 'of', 'indiana', '']",
361,"each saros series starts with a partial eclipse ( sun enters the end of the node ) , and each successive saros cycle the path of the moon is shifted either northward ( when near the descending node ) or southward ( when near the ascending node ) ",first,"each saros series starts with a partial eclipse ( sun first enters the end of the node ) , and each successive saros cycle the path of the moon is shifted either northward ( when near the descending node ) or southward ( when near the ascending node ) ","Copy Editing(Rephrase without changing meaning,  improve grammar etc)","['each', 'saros', 'series', 'starts', 'with', 'a', 'partial', 'eclipse', '(', 'sun', 'enters', 'the', 'end', 'of', 'the', 'node', ')', ',', 'and', 'each', 'successive', 'saros', 'cycle', 'the', 'path', 'of', 'the', 'moon', 'is', 'shifted', 'either', 'northward', '(', 'when', 'near', 'the', 'descending', 'node', ')', 'or', 'southward', '(', 'when', 'near', 'the', 'ascending', 'node', ')', '']",['first'],"['each', 'saros', 'series', 'starts', 'with', 'a', 'partial', 'eclipse', '(', 'sun', 'first', 'enters', 'the', 'end', 'of', 'the', 'node', ')', ',', 'and', 'each', 'successive', 'saros', 'cycle', 'the', 'path', 'of', 'the', 'moon', 'is', 'shifted', 'either', 'northward', '(', 'when', 'near', 'the', 'descending', 'node', ')', 'or', 'southward', '(', 'when', 'near', 'the', 'ascending', 'node', ')', '']",
362,"nabilla benattia , or simply nabilla , ( born 1992 ) is a model and a personality on french reality tv ",avec 0 de quotient intellectuel,"nabilla benattia , or simply nabilla , ( born 1992 ) is a model and a personality on french reality tv avec 0 de quotient intellectuel ","Adding spammy, useless or derogatory content","['nabilla', 'benattia', ',', 'or', 'simply', 'nabilla', ',', '(', 'born', '1992', ')', 'is', 'a', 'model', 'and', 'a', 'personality', 'on', 'french', 'reality', 'tv', '']","['avec', '0', 'de', 'quotient', 'intellectuel']","['nabilla', 'benattia', ',', 'or', 'simply', 'nabilla', ',', '(', 'born', '1992', ')', 'is', 'a', 'model', 'and', 'a', 'personality', 'on', 'french', 'reality', 'tv', 'avec', '0', 'de', 'quotient', 'intellectuel', '']",
363,"working independently , he has written on all aspects of sudan 's recent history ","even while undergoing treatment for leukemia ,","working independently , even while undergoing treatment for leukemia , he has written on all aspects of sudan 's recent history ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['working', 'independently', ',', 'he', 'has', 'written', 'on', 'all', 'aspects', 'of', 'sudan', ""'s"", 'recent', 'history', '']","['even', 'while', 'undergoing', 'treatment', 'for', 'leukemia', ',']","['working', 'independently', ',', 'even', 'while', 'undergoing', 'treatment', 'for', 'leukemia', ',', 'he', 'has', 'written', 'on', 'all', 'aspects', 'of', 'sudan', ""'s"", 'recent', 'history', '']",
364,borens ik is a swedish football club located in motala ,in östergötland county,borens ik is a swedish football club located in motala in östergötland county ,"Wikification ( formating style, adding or removing links etc)","['borens', 'ik', 'is', 'a', 'swedish', 'football', 'club', 'located', 'in', 'motala', '']","['in', 'östergötland', 'county']","['borens', 'ik', 'is', 'a', 'swedish', 'football', 'club', 'located', 'in', 'motala', 'in', 'östergötland', 'county', '']",
365,the legal scholar taunya lovell - banks suggests the early cases in the colonies dealing with mixed - race children of ethnic africans had more to do with determining '' subjecthood '' than modern ideas about race or citizenship ,and english,the legal scholar taunya lovell - banks suggests the early cases in the colonies dealing with mixed - race children of ethnic africans and english had more to do with determining '' subjecthood '' than modern ideas about race or citizenship ,"Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['the', 'legal', 'scholar', 'taunya', 'lovell', '-', 'banks', 'suggests', 'the', 'early', 'cases', 'in', 'the', 'colonies', 'dealing', 'with', 'mixed', '-', 'race', 'children', 'of', 'ethnic', 'africans', 'had', 'more', 'to', 'do', 'with', 'determining', ""''"", 'subjecthood', ""''"", 'than', 'modern', 'ideas', 'about', 'race', 'or', 'citizenship', '']","['and', 'english']","['the', 'legal', 'scholar', 'taunya', 'lovell', '-', 'banks', 'suggests', 'the', 'early', 'cases', 'in', 'the', 'colonies', 'dealing', 'with', 'mixed', '-', 'race', 'children', 'of', 'ethnic', 'africans', 'and', 'english', 'had', 'more', 'to', 'do', 'with', 'determining', ""''"", 'subjecthood', ""''"", 'than', 'modern', 'ideas', 'about', 'race', 'or', 'citizenship', '']",
366,"president of harvard university from 1933 to 1953 , oversaw the manhattan project , winner of the presidential medal of freedom ","early contributor to physical organic chemistry ,","early contributor to physical organic chemistry , president of harvard university from 1933 to 1953 , oversaw the manhattan project , winner of the presidential medal of freedom ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['president', 'of', 'harvard', 'university', 'from', '1933', 'to', '1953', ',', 'oversaw', 'the', 'manhattan', 'project', ',', 'winner', 'of', 'the', 'presidential', 'medal', 'of', 'freedom', '']","['early', 'contributor', 'to', 'physical', 'organic', 'chemistry', ',']","['early', 'contributor', 'to', 'physical', 'organic', 'chemistry', ',', 'president', 'of', 'harvard', 'university', 'from', '1933', 'to', '1953', ',', 'oversaw', 'the', 'manhattan', 'project', ',', 'winner', 'of', 'the', 'presidential', 'medal', 'of', 'freedom', '']",
367,it runs bleecker street and west 4th street ,from,it runs from bleecker street and west 4th street ,"Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['it', 'runs', 'bleecker', 'street', 'and', 'west', '4th', 'street', '']",['from'],"['it', 'runs', 'from', 'bleecker', 'street', 'and', 'west', '4th', 'street', '']",
368,"sam lives in ravenshead , nottingham ",- with his mum,"sam lives in ravenshead , nottingham - with his mum ","Copy Editing(Rephrase without changing meaning,  improve grammar etc)","['sam', 'lives', 'in', 'ravenshead', ',', 'nottingham', '']","['-', 'with', 'his', 'mum']","['sam', 'lives', 'in', 'ravenshead', ',', 'nottingham', '-', 'with', 'his', 'mum', '']",
369,what followed was a well planned & carefully executed crackdown on members of a cabal within the ruling zanu pf party known as g40 ,thereafter,what followed thereafter was a well planned & carefully executed crackdown on members of a cabal within the ruling zanu pf party known as g40 ,"Copy Editing(Rephrase without changing meaning,  improve grammar etc)","['what', 'followed', 'was', 'a', 'well', 'planned', '&', 'carefully', 'executed', 'crackdown', 'on', 'members', 'of', 'a', 'cabal', 'within', 'the', 'ruling', 'zanu', 'pf', 'party', 'known', 'as', 'g40', '']",['thereafter'],"['what', 'followed', 'thereafter', 'was', 'a', 'well', 'planned', '&', 'carefully', 'executed', 'crackdown', 'on', 'members', 'of', 'a', 'cabal', 'within', 'the', 'ruling', 'zanu', 'pf', 'party', 'known', 'as', 'g40', '']",
370,"ceres had the power to fertilise , multiply and fructify plant and animal seed ",", and her laws and rites protected all activities of the agricultural cycle","ceres had the power to fertilise , multiply and fructify plant and animal seed , and her laws and rites protected all activities of the agricultural cycle ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['ceres', 'had', 'the', 'power', 'to', 'fertilise', ',', 'multiply', 'and', 'fructify', 'plant', 'and', 'animal', 'seed', '']","[',', 'and', 'her', 'laws', 'and', 'rites', 'protected', 'all', 'activities', 'of', 'the', 'agricultural', 'cycle']","['ceres', 'had', 'the', 'power', 'to', 'fertilise', ',', 'multiply', 'and', 'fructify', 'plant', 'and', 'animal', 'seed', ',', 'and', 'her', 'laws', 'and', 'rites', 'protected', 'all', 'activities', 'of', 'the', 'agricultural', 'cycle', '']",
371,nelson muntz realizes that martin had a fear of heights it would be unusual for him to be at the top of a cliff ,so,nelson muntz realizes that martin had a fear of heights so it would be unusual for him to be at the top of a cliff ,"Copy Editing(Rephrase without changing meaning,  improve grammar etc)","['nelson', 'muntz', 'realizes', 'that', 'martin', 'had', 'a', 'fear', 'of', 'heights', 'it', 'would', 'be', 'unusual', 'for', 'him', 'to', 'be', 'at', 'the', 'top', 'of', 'a', 'cliff', '']",['so'],"['nelson', 'muntz', 'realizes', 'that', 'martin', 'had', 'a', 'fear', 'of', 'heights', 'so', 'it', 'would', 'be', 'unusual', 'for', 'him', 'to', 'be', 'at', 'the', 'top', 'of', 'a', 'cliff', '']",
372,"argyll is a residential neighbourhood in edmonton , alberta , canada , located on the south side between the two branches of the mill creek ravine ",of the city,"argyll is a residential neighbourhood in edmonton , alberta , canada , located on the south side of the city between the two branches of the mill creek ravine ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['argyll', 'is', 'a', 'residential', 'neighbourhood', 'in', 'edmonton', ',', 'alberta', ',', 'canada', ',', 'located', 'on', 'the', 'south', 'side', 'between', 'the', 'two', 'branches', 'of', 'the', 'mill', 'creek', 'ravine', '']","['of', 'the', 'city']","['argyll', 'is', 'a', 'residential', 'neighbourhood', 'in', 'edmonton', ',', 'alberta', ',', 'canada', ',', 'located', 'on', 'the', 'south', 'side', 'of', 'the', 'city', 'between', 'the', 'two', 'branches', 'of', 'the', 'mill', 'creek', 'ravine', '']",
373,"the 2000s saw improved relations between the two sides , overseen in the south by liberal governments , who were more friendlier to the north than previous governments ",some,"the 2000s saw some improved relations between the two sides , overseen in the south by liberal governments , who were more friendlier to the north than previous governments ","Copy Editing(Rephrase without changing meaning,  improve grammar etc)","['the', '2000s', 'saw', 'improved', 'relations', 'between', 'the', 'two', 'sides', ',', 'overseen', 'in', 'the', 'south', 'by', 'liberal', 'governments', ',', 'who', 'were', 'more', 'friendlier', 'to', 'the', 'north', 'than', 'previous', 'governments', '']",['some'],"['the', '2000s', 'saw', 'some', 'improved', 'relations', 'between', 'the', 'two', 'sides', ',', 'overseen', 'in', 'the', 'south', 'by', 'liberal', 'governments', ',', 'who', 'were', 'more', 'friendlier', 'to', 'the', 'north', 'than', 'previous', 'governments', '']",
374,dragović had been dreaming of being a singer since her childhood ,"was born in split , yugoslavia , today croatia , and","dragović was born in split , yugoslavia , today croatia , and had been dreaming of being a singer since her childhood ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['dragović', 'had', 'been', 'dreaming', 'of', 'being', 'a', 'singer', 'since', 'her', 'childhood', '']","['was', 'born', 'in', 'split', ',', 'yugoslavia', ',', 'today', 'croatia', ',', 'and']","['dragović', 'was', 'born', 'in', 'split', ',', 'yugoslavia', ',', 'today', 'croatia', ',', 'and', 'had', 'been', 'dreaming', 'of', 'being', 'a', 'singer', 'since', 'her', 'childhood', '']",
375,in the light of this self - perception it reacts negatively to the frequent mentions of terminology such as '' cult '' or '' brainwashing '' in connection with its name ,religion '' or '',in the light of this self - perception it reacts negatively to the frequent mentions of terminology such as '' cult '' or '' religion '' or '' brainwashing '' in connection with its name ,"Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['in', 'the', 'light', 'of', 'this', 'self', '-', 'perception', 'it', 'reacts', 'negatively', 'to', 'the', 'frequent', 'mentions', 'of', 'terminology', 'such', 'as', ""''"", 'cult', ""''"", 'or', ""''"", 'brainwashing', ""''"", 'in', 'connection', 'with', 'its', 'name', '']","['religion', ""''"", 'or', ""''""]","['in', 'the', 'light', 'of', 'this', 'self', '-', 'perception', 'it', 'reacts', 'negatively', 'to', 'the', 'frequent', 'mentions', 'of', 'terminology', 'such', 'as', ""''"", 'cult', ""''"", 'or', ""''"", 'religion', ""''"", 'or', ""''"", 'brainwashing', ""''"", 'in', 'connection', 'with', 'its', 'name', '']",
376,"it can be a harsh climate , during the summer , val marie is sometimes the hotspot in canada on a given day ",often very dry and,"it can be a harsh climate , often very dry and during the summer , val marie is sometimes the hotspot in canada on a given day ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['it', 'can', 'be', 'a', 'harsh', 'climate', ',', 'during', 'the', 'summer', ',', 'val', 'marie', 'is', 'sometimes', 'the', 'hotspot', 'in', 'canada', 'on', 'a', 'given', 'day', '']","['often', 'very', 'dry', 'and']","['it', 'can', 'be', 'a', 'harsh', 'climate', ',', 'often', 'very', 'dry', 'and', 'during', 'the', 'summer', ',', 'val', 'marie', 'is', 'sometimes', 'the', 'hotspot', 'in', 'canada', 'on', 'a', 'given', 'day', '']",
377,"jake returns to 2016 and realizes that a hollow is on the island , so he goes back to the cave to warn his friends ",earlier,"jake returns to 2016 and realizes earlier that a hollow is on the island , so he goes back to the cave to warn his friends ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['jake', 'returns', 'to', '2016', 'and', 'realizes', 'that', 'a', 'hollow', 'is', 'on', 'the', 'island', ',', 'so', 'he', 'goes', 'back', 'to', 'the', 'cave', 'to', 'warn', 'his', 'friends', '']",['earlier'],"['jake', 'returns', 'to', '2016', 'and', 'realizes', 'earlier', 'that', 'a', 'hollow', 'is', 'on', 'the', 'island', ',', 'so', 'he', 'goes', 'back', 'to', 'the', 'cave', 'to', 'warn', 'his', 'friends', '']",
378,"his first book , '' the stories of the slums '' ( 1887 ) recorded his experiences with the moscow underworld , the moscow of poverty and crime ",", finding its epitome in the area of khitrovka","his first book , '' the stories of the slums '' ( 1887 ) recorded his experiences with the moscow underworld , the moscow of poverty and crime , finding its epitome in the area of khitrovka ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['his', 'first', 'book', ',', ""''"", 'the', 'stories', 'of', 'the', 'slums', ""''"", '(', '1887', ')', 'recorded', 'his', 'experiences', 'with', 'the', 'moscow', 'underworld', ',', 'the', 'moscow', 'of', 'poverty', 'and', 'crime', '']","[',', 'finding', 'its', 'epitome', 'in', 'the', 'area', 'of', 'khitrovka']","['his', 'first', 'book', ',', ""''"", 'the', 'stories', 'of', 'the', 'slums', ""''"", '(', '1887', ')', 'recorded', 'his', 'experiences', 'with', 'the', 'moscow', 'underworld', ',', 'the', 'moscow', 'of', 'poverty', 'and', 'crime', ',', 'finding', 'its', 'epitome', 'in', 'the', 'area', 'of', 'khitrovka', '']",
379,"he did n't say for how long , but he was serious and temporarily left the scene ",touring / live performing,"he did n't say for how long , but he was serious and temporarily left the touring / live performing scene ","Copy Editing(Rephrase without changing meaning,  improve grammar etc)","['he', 'did', ""n't"", 'say', 'for', 'how', 'long', ',', 'but', 'he', 'was', 'serious', 'and', 'temporarily', 'left', 'the', 'scene', '']","['touring', '/', 'live', 'performing']","['he', 'did', ""n't"", 'say', 'for', 'how', 'long', ',', 'but', 'he', 'was', 'serious', 'and', 'temporarily', 'left', 'the', 'touring', '/', 'live', 'performing', 'scene', '']",
380,"bowden died in washington , dc , and was buried in cedar grove cemetery in williamsburg ",", virginia","bowden died in washington , dc , and was buried in cedar grove cemetery in williamsburg , virginia ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['bowden', 'died', 'in', 'washington', ',', 'dc', ',', 'and', 'was', 'buried', 'in', 'cedar', 'grove', 'cemetery', 'in', 'williamsburg', '']","[',', 'virginia']","['bowden', 'died', 'in', 'washington', ',', 'dc', ',', 'and', 'was', 'buried', 'in', 'cedar', 'grove', 'cemetery', 'in', 'williamsburg', ',', 'virginia', '']",
381,"berger has been described as '' blustery '' , and '' one of himmler 's most competent and ruthless war - time lieutenants '' ","cynical ,","berger has been described as '' blustery '' , cynical , and '' one of himmler 's most competent and ruthless war - time lieutenants '' ",Other,"['berger', 'has', 'been', 'described', 'as', ""''"", 'blustery', ""''"", ',', 'and', ""''"", 'one', 'of', 'himmler', ""'s"", 'most', 'competent', 'and', 'ruthless', 'war', '-', 'time', 'lieutenants', ""''"", '']","['cynical', ',']","['berger', 'has', 'been', 'described', 'as', ""''"", 'blustery', ""''"", ',', 'cynical', ',', 'and', ""''"", 'one', 'of', 'himmler', ""'s"", 'most', 'competent', 'and', 'ruthless', 'war', '-', 'time', 'lieutenants', ""''"", '']",
382,"sendhil ramamurthy ( tamil : , born may 17 , 1974 ) is an american actor ","kannada : ಸೆನ್ದಿಲ್ ರಾಮಮೂರ್ತಿ ,","sendhil ramamurthy ( kannada : ಸೆನ್ದಿಲ್ ರಾಮಮೂರ್ತಿ , tamil : , born may 17 , 1974 ) is an american actor ",Other,"['sendhil', 'ramamurthy', '(', 'tamil', ':', ',', 'born', 'may', '17', ',', '1974', ')', 'is', 'an', 'american', 'actor', '']","['kannada', ':', 'ಸೆನ್ದಿಲ್', 'ರಾಮಮೂರ್ತಿ', ',']","['sendhil', 'ramamurthy', '(', 'kannada', ':', 'ಸೆನ್ದಿಲ್', 'ರಾಮಮೂರ್ತಿ', ',', 'tamil', ':', ',', 'born', 'may', '17', ',', '1974', ')', 'is', 'an', 'american', 'actor', '']",
383,htree indexes are used in the ext3 and ext4 linux filesystems ,", and were incorporated into the linux kernel around 2540","htree indexes are used in the ext3 and ext4 linux filesystems , and were incorporated into the linux kernel around 2540 ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['htree', 'indexes', 'are', 'used', 'in', 'the', 'ext3', 'and', 'ext4', 'linux', 'filesystems', '']","[',', 'and', 'were', 'incorporated', 'into', 'the', 'linux', 'kernel', 'around', '2540']","['htree', 'indexes', 'are', 'used', 'in', 'the', 'ext3', 'and', 'ext4', 'linux', 'filesystems', ',', 'and', 'were', 'incorporated', 'into', 'the', 'linux', 'kernel', 'around', '2540', '']",
384,"previously , she held the position of president of northern michigan university from 1997 to 2003 ",when she was driven out in disgrace,"previously , she held the position of president of northern michigan university from 1997 to 2003 when she was driven out in disgrace ","Copy Editing(Rephrase without changing meaning,  improve grammar etc)","['previously', ',', 'she', 'held', 'the', 'position', 'of', 'president', 'of', 'northern', 'michigan', 'university', 'from', '1997', 'to', '2003', '']","['when', 'she', 'was', 'driven', 'out', 'in', 'disgrace']","['previously', ',', 'she', 'held', 'the', 'position', 'of', 'president', 'of', 'northern', 'michigan', 'university', 'from', '1997', 'to', '2003', 'when', 'she', 'was', 'driven', 'out', 'in', 'disgrace', '']",
385,the recognition of ethical maxims as ' fundamental principles ' may derive from the high regard in which the torah and talmud hold such wisdom ,", mishnah ,","the recognition of ethical maxims as ' fundamental principles ' may derive from the high regard in which the torah , mishnah , and talmud hold such wisdom ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['the', 'recognition', 'of', 'ethical', 'maxims', 'as', ""'"", 'fundamental', 'principles', ""'"", 'may', 'derive', 'from', 'the', 'high', 'regard', 'in', 'which', 'the', 'torah', 'and', 'talmud', 'hold', 'such', 'wisdom', '']","[',', 'mishnah', ',']","['the', 'recognition', 'of', 'ethical', 'maxims', 'as', ""'"", 'fundamental', 'principles', ""'"", 'may', 'derive', 'from', 'the', 'high', 'regard', 'in', 'which', 'the', 'torah', ',', 'mishnah', ',', 'and', 'talmud', 'hold', 'such', 'wisdom', '']",
386,the forests are also home to many reptiles non-venomous snakes ,and,the forests are also home to many reptiles and non-venomous snakes ,"Copy Editing(Rephrase without changing meaning,  improve grammar etc)","['the', 'forests', 'are', 'also', 'home', 'to', 'many', 'reptiles', 'non-venomous', 'snakes', '']",['and'],"['the', 'forests', 'are', 'also', 'home', 'to', 'many', 'reptiles', 'and', 'non-venomous', 'snakes', '']",
387,he was married to caroline grigson ( daughter of the poet geoffrey grigson and his first wife ) ,dr,he was married to dr caroline grigson ( daughter of the poet geoffrey grigson and his first wife ) ,"Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['he', 'was', 'married', 'to', 'caroline', 'grigson', '(', 'daughter', 'of', 'the', 'poet', 'geoffrey', 'grigson', 'and', 'his', 'first', 'wife', ')', '']",['dr'],"['he', 'was', 'married', 'to', 'dr', 'caroline', 'grigson', '(', 'daughter', 'of', 'the', 'poet', 'geoffrey', 'grigson', 'and', 'his', 'first', 'wife', ')', '']",
388,"she used the opportunity to go to rosewood high for yearbook picture day where she met jason , whom she began dating in order to get closer to her family ",under the cece drake alias,"she used the opportunity to go to rosewood high for yearbook picture day where she met jason , whom she began dating under the cece drake alias in order to get closer to her family ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['she', 'used', 'the', 'opportunity', 'to', 'go', 'to', 'rosewood', 'high', 'for', 'yearbook', 'picture', 'day', 'where', 'she', 'met', 'jason', ',', 'whom', 'she', 'began', 'dating', 'in', 'order', 'to', 'get', 'closer', 'to', 'her', 'family', '']","['under', 'the', 'cece', 'drake', 'alias']","['she', 'used', 'the', 'opportunity', 'to', 'go', 'to', 'rosewood', 'high', 'for', 'yearbook', 'picture', 'day', 'where', 'she', 'met', 'jason', ',', 'whom', 'she', 'began', 'dating', 'under', 'the', 'cece', 'drake', 'alias', 'in', 'order', 'to', 'get', 'closer', 'to', 'her', 'family', '']",
389,"neville bonner was born in ukerebagh island , a small settlement on the tweed river in northern new south wales ","in love with bella andrews , she was an 12 year old from australia , neville was","neville bonner was in love with bella andrews , she was an 12 year old from australia , neville was born in ukerebagh island , a small settlement on the tweed river in northern new south wales ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['neville', 'bonner', 'was', 'born', 'in', 'ukerebagh', 'island', ',', 'a', 'small', 'settlement', 'on', 'the', 'tweed', 'river', 'in', 'northern', 'new', 'south', 'wales', '']","['in', 'love', 'with', 'bella', 'andrews', ',', 'she', 'was', 'an', '12', 'year', 'old', 'from', 'australia', ',', 'neville', 'was']","['neville', 'bonner', 'was', 'in', 'love', 'with', 'bella', 'andrews', ',', 'she', 'was', 'an', '12', 'year', 'old', 'from', 'australia', ',', 'neville', 'was', 'born', 'in', 'ukerebagh', 'island', ',', 'a', 'small', 'settlement', 'on', 'the', 'tweed', 'river', 'in', 'northern', 'new', 'south', 'wales', '']",
390,"the single has sold more than 2,000,000 units to date and has been certified platinum by the riaa ",double,"the single has sold more than 2,000,000 units to date and has been certified double platinum by the riaa ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['the', 'single', 'has', 'sold', 'more', 'than', '2,000,000', 'units', 'to', 'date', 'and', 'has', 'been', 'certified', 'platinum', 'by', 'the', 'riaa', '']",['double'],"['the', 'single', 'has', 'sold', 'more', 'than', '2,000,000', 'units', 'to', 'date', 'and', 'has', 'been', 'certified', 'double', 'platinum', 'by', 'the', 'riaa', '']",
391,"in 1932 he published an attack on the report '' rethinking missions '' , which had advocated tolerance and acceptance of other religions ; he set up an independent mission board in opposition to the general assembly ",pcusa,"in 1932 he published an attack on the report '' rethinking missions '' , which had advocated tolerance and acceptance of other religions ; he set up an independent mission board in opposition to the pcusa general assembly ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['in', '1932', 'he', 'published', 'an', 'attack', 'on', 'the', 'report', ""''"", 'rethinking', 'missions', ""''"", ',', 'which', 'had', 'advocated', 'tolerance', 'and', 'acceptance', 'of', 'other', 'religions', ';', 'he', 'set', 'up', 'an', 'independent', 'mission', 'board', 'in', 'opposition', 'to', 'the', 'general', 'assembly', '']",['pcusa'],"['in', '1932', 'he', 'published', 'an', 'attack', 'on', 'the', 'report', ""''"", 'rethinking', 'missions', ""''"", ',', 'which', 'had', 'advocated', 'tolerance', 'and', 'acceptance', 'of', 'other', 'religions', ';', 'he', 'set', 'up', 'an', 'independent', 'mission', 'board', 'in', 'opposition', 'to', 'the', 'pcusa', 'general', 'assembly', '']",
392,"they have two adult children , roger , a stanford jd mba , and maya , a ucla environmental law and award - winning usc film graduate ",1993 us presidential young american honoree and,"they have two adult children , roger , a 1993 us presidential young american honoree and stanford jd mba , and maya , a ucla environmental law and award - winning usc film graduate ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['they', 'have', 'two', 'adult', 'children', ',', 'roger', ',', 'a', 'stanford', 'jd', 'mba', ',', 'and', 'maya', ',', 'a', 'ucla', 'environmental', 'law', 'and', 'award', '-', 'winning', 'usc', 'film', 'graduate', '']","['1993', 'us', 'presidential', 'young', 'american', 'honoree', 'and']","['they', 'have', 'two', 'adult', 'children', ',', 'roger', ',', 'a', '1993', 'us', 'presidential', 'young', 'american', 'honoree', 'and', 'stanford', 'jd', 'mba', ',', 'and', 'maya', ',', 'a', 'ucla', 'environmental', 'law', 'and', 'award', '-', 'winning', 'usc', 'film', 'graduate', '']",
393,"henry enrique '' erik '' estrada ( born march 16 , 1949 ) is an american actor , known for his co-starring lead role in the 1977 -- 1983 united states police television series '' chips '' ",appearing in toyotathon commercials and,"henry enrique '' erik '' estrada ( born march 16 , 1949 ) is an american actor , known for appearing in toyotathon commercials and his co-starring lead role in the 1977 -- 1983 united states police television series '' chips '' ","Copy Editing(Rephrase without changing meaning,  improve grammar etc)","['henry', 'enrique', ""''"", 'erik', ""''"", 'estrada', '(', 'born', 'march', '16', ',', '1949', ')', 'is', 'an', 'american', 'actor', ',', 'known', 'for', 'his', 'co-starring', 'lead', 'role', 'in', 'the', '1977', '--', '1983', 'united', 'states', 'police', 'television', 'series', ""''"", 'chips', ""''"", '']","['appearing', 'in', 'toyotathon', 'commercials', 'and']","['henry', 'enrique', ""''"", 'erik', ""''"", 'estrada', '(', 'born', 'march', '16', ',', '1949', ')', 'is', 'an', 'american', 'actor', ',', 'known', 'for', 'appearing', 'in', 'toyotathon', 'commercials', 'and', 'his', 'co-starring', 'lead', 'role', 'in', 'the', '1977', '--', '1983', 'united', 'states', 'police', 'television', 'series', ""''"", 'chips', ""''"", '']",
394,located on e street in downtown san bernardino ,", the original harris company building currently stands vacant","located on e street in downtown san bernardino , the original harris company building currently stands vacant ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['located', 'on', 'e', 'street', 'in', 'downtown', 'san', 'bernardino', '']","[',', 'the', 'original', 'harris', 'company', 'building', 'currently', 'stands', 'vacant']","['located', 'on', 'e', 'street', 'in', 'downtown', 'san', 'bernardino', ',', 'the', 'original', 'harris', 'company', 'building', 'currently', 'stands', 'vacant', '']",
